Time	Cond		
0	0.6709	-0.0032	19.3
1	0.6708	-0.0034	19.3
2	0.6708	-0.002	19.4
3	0.6708	-0.0034	19.4
4	0.6708	-0.0033	19.3
5	0.6708	-0.0008	19.4
6	0.6707	-0.0052	19.4
7	0.6707	-0.0047	19.4
8	0.6708	0.0021	19.4
9	0.6707	-0.0042	19.4
10	0.6707	-0.004	19.4
11	0.6707	-0.0039	19.4
12	0.6707	-0.0055	19.4
13	0.6707	-0.0023	19.4
14	0.6708	-0.0005	19.4
15	0.6707	-0.0036	19.4
16	0.6708	-0.0052	19.3
17	0.6708	-0.0045	19.3
18	0.6707	-0.0045	19.4
19	0.6708	0.0017	19.4
20	0.6708	-0.0042	19.3
21	0.6708	-0.0013	19.3
22	0.6708	-0.003	19.3
23	0.6707	-0.0032	19.4
24	0.6707	-0.0051	19.3
25	0.6707	0.0024	19.4
26	0.6708	-0.0018	19.3
27	0.6707	-0.0062	19.3
28	0.6708	-0.0006	19.3
29	0.6708	-0.0001	19.3
30	0.6708	-0.0026	19.3
31	0.6707	-0.0025	19.3
32	0.6707	-0.0058	19.3
33	0.6707	-0.0054	19.3
34	0.6709	0.0008	19.3
35	0.6709	-0.0003	19.3
36	0.671	0.0021	19.3
37	0.6711	0.0047	19.3
38	0.6712	0.0023	19.3
39	0.6712	0.0008	19.3
40	0.6712	-0.0011	19.3
41	0.6713	0.0001	19.3
42	0.6713	-0.0015	19.3
43	0.6713	-0.0025	19.3
44	0.6714	0.0004	19.3
45	0.6713	-0.0051	19.3
46	0.6714	-0.0005	19.3
47	0.6714	0.002	19.3
48	0.6715	-0.0063	19.3
49	0.6715	-0.0035	19.3
50	0.6715	-0.0007	19.3
51	0.6716	-0.0005	19.3
52	0.6715	-0.0033	19.3
53	0.6716	-0.0034	19.3
54	0.6716	-0.0002	19.3
55	0.6716	-0.0045	19.3
56	0.6715	-0.0049	19.3
57	0.6715	-0.0092	19.3
58	0.6715	-0.0086	19.3
59	0.6714	-0.0049	19.3
60	0.6714	-0.0079	19.3
61	0.6714	-0.0029	19.3
62	0.6713	-0.0071	19.3
63	0.6712	-0.008	19.3
64	0.6711	-0.0077	19.3
65	0.671	-0.0075	19.3
66	0.6709	-0.0122	19.3
67	0.6708	-0.0084	19.3
68	0.6707	-0.0097	19.3
69	0.6706	-0.0083	19.3
70	0.6706	-0.0069	19.3
71	0.6705	-0.0077	19.3
72	0.6703	-0.0098	19.3
73	0.6703	-0.0089	19.3
74	0.6702	-0.0083	19.3
75	0.6701	-0.0124	19.3
76	0.6699	-0.0123	19.3
77	0.6698	-0.0089	19.3
78	0.6698	-0.007	19.3
79	0.6696	-0.0094	19.3
80	0.6694	-0.0182	19.3
81	0.6693	-0.0142	19.3
82	0.6691	-0.012	19.3
83	0.6689	-0.0151	19.3
84	0.6688	-0.0124	19.3
85	0.6686	-0.012	19.3
86	0.6684	-0.013	19.3
87	0.6683	-0.011	19.3
88	0.6681	-0.0189	19.3
