time	pH		Temp/°C		Cond/µS	
1		6.489		21.5		-5012	
2		6.49		21.6		-5000	
3		6.49		21.5		-5012	
4		6.489		21.5		-5000	
5		6.489		21.5		-5012	
6		6.489		21.5		-5024	
7		6.489		21.5		-5012	
8		6.489		21.5		-5012	
9		6.489		21.5		-5000	
10		6.488		21.5		-5012	
11		6.488		21.5		-5000	
12		6.487		21.5		-5012	
13		6.487		21.5		-5000	
14		6.487		21.5		-5024	
15		6.486		21.5		-5012	
16		6.486		21.5		-5012	
17		6.486		21.5		-5012	
18		6.486		21.5		-5000	
19		6.486		21.5		-5012	
20		6.487		21.6		-5024	
21		6.521		21.5		-5000	
22		6.528		21.5		-5012	
23		6.532		21.5		-5012	
24		6.536		21.5		-5012	
25		6.54		21.5		-5012	
26		6.544		21.5		-5012	
27		6.549		21.5		-5012	
28		6.553		21.5		-5012	
29		6.558		21.5		-5000	
30		6.562		21.5		-5000	
31		6.566		21.5		-5000	
32		6.57		21.5		-5000	
33		6.574		21.5		-5012	
34		6.578		21.5		-5012	
35		6.583		21.5		-4987	
36		6.586		21.5		-5012	
37		6.59		21.5		-5000	
38		6.593		21.5		-5012	
39		6.596		21.5		-5012	
40		6.599		21.5		-5024	
41		6.602		21.5		-5012	
42		6.605		21.5		-5024	
43		6.608		21.5		-5000	
44		6.61		21.5		-5024	
45		6.613		21.5		-5012	
46		6.614		21.5		-5000	
47		6.615		21.5		-5012	
48		6.618		21.5		-5000	
49		6.619		21.5		-5000	
50		6.62		21.5		-4987	
51		6.622		21.5		-5000	
52		6.623		21.5		-5012	
53		6.624		21.5		-5000	
54		6.624		21.5		-5000	
55		6.625		21.5		-5024	
56		6.626		21.5		-5024	
57		6.626		21.5		-5024	
58		6.626		21.5		-5012	
59		6.626		21.5		-5000	
60		6.626		21.5		-5012	
61		6.626		21.5		-5000	
62		6.626		21.5		-4987	
63		6.626		21.5		-5012	
64		6.627		21.5		-4987	
65		6.627		21.5		-5012	
66		6.626		21.5		-5000	
67		6.625		21.5		-5012	
68		6.624		21.5		-5012	
69		6.623		21.5		-5024	
70		6.62		21.5		-5012	
71		6.619		21.5		-5012	
72		6.618		21.5		-5024	
73		6.617		21.5		-5012	
74		6.615		21.5		-5012	
75		6.614		21.5		-5012	
76		6.612		21.5		-5000	
77		6.611		21.5		-5012	
78		6.609		21.5		-5012	
79		6.607		21.5		-5012	
80		6.605		21.5		-5012	
81		6.603		21.5		-5012	
82		6.6		21.5		-5012	
83		6.598		21.5		-5000	
84		6.596		21.5		-5024	
85		6.593		21.5		-4987	
86		6.591		21.5		-5012	
87		6.588		21.5		-5012	
88		6.586		21.5		-5000	
89		6.583		21.5		-5000	
90		6.58		21.5		-5012	
91		6.577		21.5		-5000	
92		6.574		21.6		-5000	
93		6.572		21.5		-5000	
94		6.568		21.6		-5012	
95		6.565		21.5		-5000	
96		6.563		21.5		-4987	
97		6.559		21.5		-5000	
98		6.555		21.5		-5000	
99		6.552		21.5		-5012	
100		6.549		21.6		-5012	
101		6.545		21.5		-5000	
102		6.542		21.5		-5000	
103		6.538		21.5		-5012	
