Time		pH		Temp/°C		Cond/µS		ml/min		Cell Voltage
1		5.29		21.0		-5012		0		0.029
2		5.29		21.0		-5012		0		0.039
3		5.29		21.0		-5012		0		0.015
4		5.29		21.0		-5024		0		0.024
5		5.29		21.0		-5012		0		-0.015
6		5.28		21.0		-5000		0		0.034
7		5.29		21.0		-5012		0		0.039
8		5.29		20.9		-5012		0		0.024
9		5.29		21.0		-5000		0		0.020
10		5.28		21.0		-4987		0		0.049
11		5.29		21.0		-5000		0		0.020
12		5.29		21.0		-5012		0		0.020
13		5.29		21.0		-5012		0		0.024
14		5.29		21.0		-5024		0		0.005
15		5.29		21.0		-5012		0		0.010
16		5.29		21.0		-5000		0		0.015
17		5.29		20.9		-5000		0		-0.015
18		5.30		20.9		-5000		0		-0.010
19		5.29		21.0		-4987		0		-0.054
20		5.29		20.9		-5000		0		-0.049
21		5.29		21.0		-5012		0		-0.020
22		5.29		21.0		-5024		0		-0.054
23		5.28		21.0		-5000		0		-0.078
24		5.29		21.0		-5000		0		-0.078
25		5.29		20.9		-4987		0		-0.112
26		5.28		21.0		-5012		0		-0.107
27		5.29		21.0		-5000		0		-0.107
28		5.28		21.0		-5012		0		-0.127
29		5.29		20.9		-5000		0		-0.132
30		5.29		20.9		-5000		0		-0.156
31		5.29		20.9		-5024		0		-0.132
32		5.29		20.9		-5000		0		-0.156
33		5.28		21.0		-5012		0		-0.137
34		5.29		21.0		-5012		0		-0.151
35		5.29		21.0		-5000		0		-0.156
36		5.29		21.0		-5000		0		-0.132
37		5.29		21.0		-5012		0		-0.127
38		5.29		21.0		-5012		0		-0.161
39		5.29		20.9		-5012		0		-0.127
40		5.29		21.0		-5012		0		-0.132
41		5.29		21.0		-5012		0		-0.132
42		5.28		21.0		-5012		0		-0.127
43		5.30		21.0		-5000		0		-0.107
44		5.29		20.9		-5012		0		-0.078
45		5.29		21.0		-5012		0		-0.068
46		5.29		21.0		-5012		0		-0.063
47		5.29		21.0		-5012		0		-0.054
48		5.29		21.0		-5012		0		-0.068
49		5.29		20.9		-5000		0		-0.063
50		5.29		21.0		-5012		0		-0.020
51		5.29		21.0		-5012		0		-0.015
52		5.29		21.0		-5012		0		-0.034
53		5.29		21.0		-5012		0		-0.024
54		5.29		21.0		-4987		0		-0.005
55		5.28		21.0		-5000		0		-0.015
56		5.30		21.0		-5012		0		0.034
57		5.29		21.0		-5012		0		0.034
58		5.29		21.0		-5000		0		0.034
59		5.43		21.0		-5012		0		0.034
60		5.43		21.0		-5012		0		0.020
61		5.30		21.0		-5024		0		0.039
62		5.29		21.0		-5000		0		0.034
63		5.29		21.0		-5012		0		0.024
64		5.29		21.0		-5024		0		0.034
65		5.29		21.0		-5012		0		0.029
66		5.29		21.0		-5012		0		0.044
67		5.29		21.0		-5000		0		0.044
68		5.29		21.0		-4987		0		0.024
69		5.29		21.0		-5012		0		-0.015
70		5.29		21.0		-5012		0		0.034
71		5.29		21.0		-5012		0		0.029
72		5.29		21.0		-5012		0		0.039
73		5.29		20.9		-4987		0		0.039
74		5.29		21.0		-5012		0		0.034
75		5.29		20.9		-5000		0		0.029
76		5.29		21.0		-5000		0		0.034
77		5.30		21.0		-5012		0		0.039
78		5.29		21.0		-5012		0		0.044
79		5.29		20.9		-4987		0		0.049
80		5.29		20.9		-5012		0		0.029
81		5.29		21.0		-5000		0		0.034
82		5.29		21.0		-5012		0		0.020
83		5.29		21.0		-5000		0		0.020
84		5.30		21.0		-5000		0		0.034
85		5.29		21.0		-5000		0		0.024
86		5.29		21.0		-5012		0		0.029
87		5.29		21.0		-5000		0		0.029
88		5.29		21.0		-5000		0		0.029
89		5.29		21.0		-5012		0		0.029
90		5.29		21.0		-5012		0		-0.029
91		5.29		21.0		-5000		0		0.005
92		5.30		21.0		-5000		0		0.005
93		5.29		21.0		-5012		0		0.010
94		5.29		21.0		-5012		0		0.005
95		5.28		21.0		-5000		0		0.010
96		5.29		21.0		-5024		0		0.015
97		5.28		21.0		-5000		0		-0.010
98		5.29		21.1		-4987		0		-0.039
99		5.29		21.0		-5012		0		-0.059
100		5.29		21.0		-5024		0		-0.039
101		5.29		21.0		-4987		0		-0.054
102		5.28		21.1		-5000		0		-0.034
103		5.29		21.0		-4987		0		-0.059
104		5.28		21.0		-5000		0		-0.068
105		5.29		21.0		-4987		0		-0.044
106		5.28		21.0		-5036		0		-0.054
107		5.29		21.0		-5012		0		-0.063
