mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V	Ewe/V	I/mA	dq/mA.h	(Q-Qo)/mA.h	dQ/C	(Q-Qo)/C	Q charge/discharge/mA.h	half cycle	x	Q discharge/mA.h	Q charge/mA.h	Capacity/mA.h	Efficiency/%	cycle number	P/W
2	1	0	0	0	0	0	0.000000000000000E+000	1.1999763E+000	1.2006525E+000	3.6125072E+001	0.000000000000000E+000	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0.000000000000000E+000	0	8.999999761581421E-001	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0	0.000000000000000E+000	4.3373659E-002
2	1	0	0	0	0	0	9.999999747378752E-001	1.1999763E+000	1.2004387E+000	2.0793808E+001	5.970555215623644E-003	5.970555215623644E-003	2.1493999E-002	2.1493999E-002	5.970555215623644E-003	0	8.999968615230811E-001	0.000000000000000E+000	5.970555215623644E-003	5.970555215623644E-003	0	0.000000000000000E+000	2.4961693E-002
2	1	0	0	0	0	0	1.999999949475750E+000	1.1999763E+000	1.2004960E+000	1.9969831E+001	5.664371766620212E-003	1.163492698224386E-002	4.1885737E-002	4.1885737E-002	1.163492698224386E-002	0	8.999939066134846E-001	0.000000000000000E+000	1.163492698224386E-002	1.163492698224386E-002	0	0.000000000000000E+000	2.3973702E-002
2	1	0	0	0	0	0	2.999999924213625E+000	1.1999763E+000	1.2005152E+000	1.8688095E+001	5.382172815004985E-003	1.701709979724884E-002	6.1261561E-002	6.1261561E-002	1.701709979724884E-002	0	8.999910989174582E-001	0.000000000000000E+000	1.701709979724884E-002	1.701709979724884E-002	0	0.000000000000000E+000	2.2435341E-002
2	1	0	0	0	0	0	3.999999898951501E+000	1.1999763E+000	1.2004616E+000	1.7150772E+001	4.977724010891384E-003	2.199482380814023E-002	7.9181366E-002	7.9181366E-002	2.199482380814023E-002	0	8.999885022085813E-001	0.000000000000000E+000	2.199482380814023E-002	2.199482380814023E-002	0	0.000000000000000E+000	2.0588843E-002
2	1	0	0	0	0	0	4.999999873689376E+000	1.1999763E+000	1.2005838E+000	1.5739335E+001	4.566728589163886E-003	2.656155239730411E-002	9.5621586E-002	9.5621586E-002	2.656155239730411E-002	0	8.999861199020011E-001	0.000000000000000E+000	2.656155239730411E-002	2.656155239730411E-002	0	0.000000000000000E+000	1.8896392E-002
2	1	0	0	0	0	0	5.999999848427251E+000	1.1999763E+000	1.2004578E+000	1.4655961E+001	4.216972585413191E-003	3.077852498271730E-002	1.1080269E-001	1.1080269E-001	3.077852498271730E-002	0	8.999839200512013E-001	0.000000000000000E+000	3.077852498271730E-002	3.077852498271730E-002	0	0.000000000000000E+000	1.7593862E-002
2	1	0	0	0	0	0	6.999999823165126E+000	1.1999763E+000	1.2004845E+000	1.3717546E+001	3.941592369927300E-003	3.472011735264460E-002	1.2499242E-001	1.2499242E-001	3.472011735264460E-002	0	8.999818638568696E-001	0.000000000000000E+000	3.472011735264460E-002	3.472011735264460E-002	0	0.000000000000000E+000	1.6467702E-002
2	1	0	0	0	0	0	7.999999797903001E+000	1.1999763E+000	1.2003281E+000	1.3015641E+001	3.717360257042779E-003	3.843747760968738E-002	1.3837492E-001	1.3837492E-001	3.843747760968738E-002	0	8.999799246367849E-001	0.000000000000000E+000	3.843747760968738E-002	3.843747760968738E-002	0	0.000000000000000E+000	1.5623040E-002
2	1	0	0	0	0	0	8.999999772640876E+000	1.1999763E+000	1.2006410E+000	1.2435806E+001	3.531588756296370E-003	4.196906636598375E-002	1.5108864E-001	1.5108864E-001	4.196906636598375E-002	0	8.999780823273573E-001	0.000000000000000E+000	4.196906636598375E-002	4.196906636598375E-002	0	0.000000000000000E+000	1.4930939E-002
2	1	0	0	0	0	0	9.999999747378752E+000	1.1999763E+000	1.2004731E+000	1.1974229E+001	3.383824981053670E-003	4.535289134703742E-002	1.6327041E-001	1.6327041E-001	4.535289134703742E-002	0	8.999763171012526E-001	0.000000000000000E+000	4.535289134703742E-002	4.535289134703742E-002	0	0.000000000000000E+000	1.4374739E-002
2	1	0	0	0	0	0	1.099999972211663E+001	1.1999763E+000	1.2004120E+000	1.1516465E+001	3.266600184546577E-003	4.861949153158400E-002	1.7503017E-001	1.7503017E-001	4.861949153158399E-002	0	8.999746130273268E-001	0.000000000000000E+000	4.861949153158399E-002	4.861949153158399E-002	0	0.000000000000000E+000	1.3824504E-002
2	1	0	0	0	0	0	1.199999969685450E+001	1.1999763E+000	1.2006601E+000	1.1196030E+001	3.156408438629574E-003	5.177589997021357E-002	1.8639325E-001	1.8639325E-001	5.177589997021357E-002	0	8.999729664366775E-001	0.000000000000000E+000	5.177589997021357E-002	5.177589997021357E-002	0	0.000000000000000E+000	1.3442626E-002
2	1	0	0	0	0	0	1.299999967159238E+001	1.1999763E+000	1.2003739E+000	1.0951890E+001	3.061488811969757E-003	5.483738878218333E-002	1.9741461E-001	1.9741461E-001	5.483738878218333E-002	0	8.999713693623604E-001	0.000000000000000E+000	5.483738878218333E-002	5.483738878218333E-002	0	0.000000000000000E+000	1.3146363E-002
2	1	0	0	0	0	0	1.399999964633025E+001	1.1999763E+000	1.2004006E+000	1.0593307E+001	2.987017690711551E-003	5.782440647289488E-002	2.0816787E-001	2.0816787E-001	5.782440647289488E-002	0	8.999698111370881E-001	0.000000000000000E+000	5.782440647289488E-002	5.782440647289488E-002	0	0.000000000000000E+000	1.2716212E-002
2	1	0	0	0	0	0	1.499999962106813E+001	1.1999763E+000	1.2004807E+000	1.0391129E+001	2.909261015945011E-003	6.073366748883989E-002	2.1864121E-001	2.1864121E-001	6.073366748883989E-002	0	8.999682934748213E-001	0.000000000000000E+000	6.073366748883989E-002	6.073366748883989E-002	0	0.000000000000000E+000	1.2474351E-002
2	1	0	0	0	0	0	1.599999959580600E+001	1.1999763E+000	1.2004808E+000	1.0169877E+001	2.841151091893514E-003	6.357481858073341E-002	2.2886935E-001	2.2886935E-001	6.357481858073341E-002	0	8.999668113431795E-001	0.000000000000000E+000	6.357481858073341E-002	6.357481858073341E-002	0	0.000000000000000E+000	1.2208742E-002
2	1	0	0	0	0	0	1.699999957054388E+001	1.1999763E+000	1.2004616E+000	9.8952188E+000	2.790092845333947E-003	6.636491142606735E-002	2.3891369E-001	2.3891369E-001	6.636491142606736E-002	0	8.999653558468839E-001	0.000000000000000E+000	6.636491142606736E-002	6.636491142606736E-002	0	0.000000000000000E+000	1.1878830E-002
2	1	0	0	0	0	0	1.799999954528175E+001	1.1999763E+000	1.2004235E+000	9.7807779E+000	2.732979212760925E-003	6.909789063882828E-002	2.4875240E-001	2.4875240E-001	6.909789063882829E-002	0	8.999639301448227E-001	0.000000000000000E+000	6.909789063882829E-002	6.909789063882829E-002	0	0.000000000000000E+000	1.1741076E-002
2	1	0	0	0	0	0	1.899999952001963E+001	1.1999763E+000	1.2004654E+000	9.6587067E+000	2.679255562305451E-003	7.177714620113373E-002	2.5839773E-001	2.5839773E-001	7.177714620113373E-002	0	8.999625324685580E-001	0.000000000000000E+000	7.177714620113373E-002	7.177714620113373E-002	0	0.000000000000000E+000	1.1594944E-002
2	1	0	0	0	0	0	1.999999949475750E+001	1.1999763E+000	1.2005494E+000	9.4031229E+000	2.641057307985094E-003	7.441820350911882E-002	2.6790553E-001	2.6790553E-001	7.441820350911883E-002	0	8.999611547190201E-001	0.000000000000000E+000	7.441820350911883E-002	7.441820350911883E-002	0	0.000000000000000E+000	1.1288913E-002
2	1	0	0	0	0	0	2.099999946949538E+001	1.1999763E+000	1.2004578E+000	9.2772369E+000	2.597313546604580E-003	7.701551705572340E-002	2.7725586E-001	2.7725586E-001	7.701551705572342E-002	0	8.999597997891108E-001	0.000000000000000E+000	7.701551705572342E-002	7.701551705572342E-002	0	0.000000000000000E+000	1.1136931E-002
2	1	0	0	0	0	0	2.199999944423325E+001	1.1999763E+000	1.2004846E+000	9.1513529E+000	2.555301014370388E-003	7.957081807009379E-002	2.8645495E-001	2.8645495E-001	7.957081807009381E-002	0	8.999584667757069E-001	0.000000000000000E+000	7.957081807009381E-002	7.957081807009381E-002	0	0.000000000000000E+000	1.0986059E-002
2	1	0	0	0	0	0	2.299999941897113E+001	1.1999763E+000	1.2004656E+000	8.9415445E+000	2.526764965110355E-003	8.209758303520415E-002	2.9555130E-001	2.9555130E-001	8.209758303520416E-002	0	8.999571486485869E-001	0.000000000000000E+000	8.209758303520416E-002	8.209758303520416E-002	0	0.000000000000000E+000	1.0734016E-002
2	1	0	0	0	0	0	2.399999939370900E+001	1.1999763E+000	1.2005074E+000	8.9072113E+000	2.494263102584415E-003	8.459184613778856E-002	3.0453065E-001	3.0453065E-001	8.459184613778857E-002	0	8.999558474765802E-001	0.000000000000000E+000	8.459184613778857E-002	8.459184613778857E-002	0	0.000000000000000E+000	1.0693173E-002
2	1	0	0	0	0	0	2.499999936844688E+001	1.1999763E+000	1.2006105E+000	8.8499918E+000	2.460901891337500E-003	8.705274802912606E-002	3.1338990E-001	3.1338990E-001	8.705274802912608E-002	0	8.999545637079799E-001	0.000000000000000E+000	8.705274802912608E-002	8.705274802912608E-002	0	0.000000000000000E+000	1.0625393E-002
2	1	0	0	0	0	0	2.599999934318475E+001	1.1999763E+000	1.2004426E+000	8.6478128E+000	2.438176040437486E-003	8.949092406956355E-002	3.2216734E-001	3.2216734E-001	8.949092406956356E-002	0	8.999532917946810E-001	0.000000000000000E+000	8.949092406956356E-002	8.949092406956356E-002	0	0.000000000000000E+000	1.0381202E-002
2	1	0	0	0	0	0	2.699999931792263E+001	1.1999763E+000	1.2004235E+000	8.6211100E+000	2.411977347532908E-003	9.190290141709645E-002	3.3085045E-001	3.3085045E-001	9.190290141709648E-002	0	8.999520335483469E-001	0.000000000000000E+000	9.190290141709648E-002	9.190290141709648E-002	0	0.000000000000000E+000	1.0348983E-002
2	1	0	0	0	0	0	2.799999929266050E+001	1.1999763E+000	1.2004349E+000	8.5448160E+000	2.384198095480601E-003	9.428709951257706E-002	3.3943355E-001	3.3943355E-001	9.428709951257708E-002	0	8.999507897935012E-001	0.000000000000000E+000	9.428709951257708E-002	9.428709951257708E-002	0	0.000000000000000E+000	1.0257496E-002
2	1	0	0	0	0	0	2.899999926739838E+001	1.1999763E+000	1.2005379E+000	8.5181122E+000	2.366774673408932E-003	9.665387418598599E-002	3.4795395E-001	3.4795395E-001	9.665387418598601E-002	0	8.999495551278607E-001	0.000000000000000E+000	9.665387418598601E-002	9.665387418598601E-002	0	0.000000000000000E+000	1.0226317E-002
2	1	0	0	0	0	0	2.999999924213625E+001	1.1999763E+000	1.2005112E+000	8.4303741E+000	2.346552967442407E-003	9.900042715342840E-002	3.5640153E-001	3.5640153E-001	9.900042715342841E-002	0	8.999483310111946E-001	0.000000000000000E+000	9.900042715342841E-002	9.900042715342841E-002	0	0.000000000000000E+000	1.0120759E-002
2	1	0	0	0	0	0	3.099999921687413E+001	1.1999763E+000	1.2004464E+000	8.3578959E+000	2.322697114308675E-003	1.013231242677371E-001	3.6476326E-001	3.6476326E-001	1.013231242677371E-001	0	8.999471193393137E-001	0.000000000000000E+000	1.013231242677371E-001	1.013231242677371E-001	0	0.000000000000000E+000	1.0033206E-002
2	1	0	0	0	0	0	3.199999919161201E+001	1.1999763E+000	1.2005075E+000	8.2243805E+000	2.307408015039232E-003	1.036305322827763E-001	3.7306991E-001	3.7306991E-001	1.036305322827763E-001	0	8.999459156432345E-001	0.000000000000000E+000	1.036305322827763E-001	1.036305322827763E-001	0	0.000000000000000E+000	9.8734302E-003
2	1	0	0	0	0	0	3.299999916634988E+001	1.1999763E+000	1.2004427E+000	8.2129374E+000	2.290226414256626E-003	1.059207586970329E-001	3.8131472E-001	3.8131472E-001	1.059207586970329E-001	0	8.999447209102105E-001	0.000000000000000E+000	1.059207586970329E-001	1.059207586970329E-001	0	0.000000000000000E+000	9.8591605E-003
2	1	0	0	0	0	0	3.399999914108776E+001	1.1999763E+000	1.2005761E+000	8.1633463E+000	2.269284585528903E-003	1.081900432825618E-001	3.8948417E-001	3.8948417E-001	1.081900432825618E-001	0	8.999435371018245E-001	0.000000000000000E+000	1.081900432825618E-001	1.081900432825618E-001	0	0.000000000000000E+000	9.8007182E-003
2	1	0	0	0	0	0	3.499999911582563E+001	1.1999763E+000	1.2005608E+000	8.0183878E+000	2.256792299588521E-003	1.104468355821503E-001	3.9760861E-001	3.9760861E-001	1.104468355821503E-001	0	8.999423598102381E-001	0.000000000000000E+000	1.104468355821503E-001	1.104468355821503E-001	0	0.000000000000000E+000	9.6265618E-003
2	1	0	0	0	0	0	3.599999909056351E+001	1.1999763E+000	1.2005342E+000	8.0641642E+000	2.243121061907874E-003	1.126899566440582E-001	4.0568385E-001	4.0568385E-001	1.126899566440582E-001	0	8.999411896504701E-001	0.000000000000000E+000	1.126899566440582E-001	1.126899566440582E-001	0	0.000000000000000E+000	9.6813049E-003
