Ns changes	time/s	I/mA	Capacity/mA.h
0	0	11.989975	0
0	0.0002	11.7550459	6.53E-07
0	0.0004	11.5808535	1.30E-06
0	0.0006	11.45403	1.93E-06
0	0.0008	11.3516541	2.56E-06
0	0.001	11.2683783	3.19E-06
0	0.0012	11.1877756	3.81E-06
0	0.0014	11.1354418	4.43E-06
0	0.0016	11.083107	5.05E-06
0	0.002	11.0021238	6.27E-06
0	0.0024	10.9364195	7.49E-06
0	0.003	10.8630762	9.30E-06
0	0.0036	10.8122692	1.11E-05
0	0.0044	10.7576437	1.35E-05
0	0.0054	10.7037821	1.65E-05
0	0.0066	10.6518297	2.00E-05
0	0.0084	10.5975857	2.53E-05
0	0.0114	10.5448694	3.42E-05
0	0.0156	10.4932995	4.64E-05
0	0.0224	10.4432573	6.62E-05
0	0.031	10.391305	9.11E-05
0	0.0468	10.3408813	0.000136596
0	0.0666	10.2896938	0.000193341
0	0.0928	10.2381229	0.000268075
0	0.1308	10.1876993	0.000375928
0	0.1726	10.1353655	0.000493977
0	0.228	10.0837955	0.000649643
0	0.293	10.0314617	0.000831329
0	0.3598	9.98103714	0.001017101
0	0.4404	9.92908573	0.001240105
0	0.5232	9.87789726	0.00146801
0	0.6168	9.82785511	0.001724296
0	0.7048	9.77666759	0.001964029
0	0.8052	9.72471523	0.002236159
0	0.9088	9.67429161	0.002515497
0	1.0166	9.62348461	0.002804642
0	1.123	9.57306099	0.003088564
0	1.241	9.52301884	0.003401792
0	1.3534	9.4714489	0.003698551
0	1.4792	9.41720581	0.004028876
0	1.6026	9.36410713	0.00435107
0	1.7266	9.31368351	0.004673012
0	1.8442	9.26325893	0.004976648
0	1.9658	9.21207047	0.005288906
0	2.0922	9.15973759	0.005611696
0	2.2192	9.10893059	0.00593414
0	2.3296	9.05774307	0.006212969
0	2.4708	9.00579071	0.006567578
0	2.5932	8.95422077	0.006873097
0	2.7146	8.90417862	0.007174398
0	2.8388	8.84917164	0.007480886
0	2.9612	8.79912949	0.007781196
0	3.0796	8.74832249	0.008070036
0	3.2104	8.69637108	0.00838725
0	3.3296	8.64518261	0.008674618
0	3.4666	8.59514141	0.009002895
0	3.5822	8.54509926	0.009278266
0	3.7078	8.49352932	0.009575735
0	3.836	8.44348621	0.009877555
0	3.9662	8.39268112	0.010182211
0	4.0882	8.34072876	0.010465977
0	4.2282	8.28533936	0.010789629
0	4.3716	8.2352972	0.011118967
0	4.504	8.18258095	0.011421145
0	4.6402	8.13215637	0.011730109
0	4.785	8.08135128	0.012056528
0	4.9356	8.02978134	0.012393845
0	5.0802	7.97782946	0.012715621
0	5.2316	7.92740536	0.013050399
0	5.3626	7.8773632	0.013338304
0	5.5326	7.82732105	0.013709565
0	5.6856	7.77689743	0.014041452
0	5.8478	7.72685528	0.014391043
0	6.0126	7.67566776	0.014743888
0	6.1842	7.62486124	0.015108854
0	6.3522	7.57329082	0.015463843
