iterate	value	randomValue	anotherRandomValue
0	0.6709	-0.0023	20.8
1	0.6708	0.0019	20.8
2	0.6708	-0.0055	20.8
3	0.6708	-0.0072	20.8
4	0.6708	0.0042	20.8
5	0.6708	-0.001	20.8
6	0.6707	-0.0073	20.8
7	0.6707	0	20.8
8	0.6708	-0.0014	20.8
9	0.6707	-0.0076	20.8
10	0.6707	0.001	20.8
11	0.6707	-0.0021	20.8
12	0.6707	-0.0067	20.8
13	0.6707	-0.0004	20.8
14	0.6708	0.0015	20.8
15	0.6707	-0.0041	20.8
16	0.6708	0.0001	20.8
17	0.6708	0.0003	20.8
18	0.6707	-0.0061	20.8
19	0.6708	-0.0027	20.8
20	0.6708	0.0007	20.8
21	0.6708	-0.0033	20.8
22	0.6708	-0.0048	20.8
23	0.6707	0.0003	20.8
24	0.6707	-0.0028	20.8
25	0.6707	-0.0062	20.8
26	0.6708	0	20.8
27	0.6707	-0.0032	20.8
28	0.6708	-0.0039	20.8
29	0.6708	-0.001	20.8
30	0.6708	0.0004	20.8
31	0.6707	-0.0091	20.8
32	0.6707	0.0053	20.8
33	0.6707	-0.004	20.8
34	0.6709	-0.0086	20.8
35	0.6709	0.0055	20.8
36	0.671	-0.0014	20.8
37	0.6711	-0.0079	20.8
38	0.6712	0.0035	20.8
39	0.6712	-0.0023	20.8
40	0.6712	-0.0086	20.8
41	0.6713	0.0055	20.8
42	0.6713	-0.0016	20.8
43	0.6713	-0.0095	20.8
44	0.6714	0.0035	20.8
45	0.6713	0.002	20.8
46	0.6714	-0.01	20.8
47	0.6714	0.0032	20.8
48	0.6715	0.0011	20.8
49	0.6715	-0.0084	20.8
50	0.6715	-0.0009	20.8
51	0.6716	-0.0012	20.8
52	0.6715	-0.0031	20.8
53	0.6716	0.0016	20.8
54	0.6716	-0.0005	20.8
55	0.6716	-0.0077	20.8
56	0.6715	0.0029	20.8
57	0.6715	0.0001	20.8
58	0.6715	-0.0076	20.8
59	0.6714	0.0039	20.8
60	0.6714	0.0025	20.8
61	0.6714	-0.01	20.8
62	0.6713	0.0015	20.8
63	0.6712	0.001	20.8
64	0.6711	-0.0074	20.8
65	0.671	0.0034	20.8
66	0.6709	0.0003	20.8
67	0.6708	-0.0096	20.8
68	0.6707	-0.0016	20.8
69	0.6706	0.0013	20.8
70	0.6706	-0.0067	20.8
71	0.6705	-0.0011	20.8
72	0.6703	-0.0002	20.8
73	0.6703	-0.0053	20.8
74	0.6702	-0.0015	20.8
75	0.6701	-0.0004	20.8
76	0.6699	-0.0043	20.8
77	0.6698	-0.0011	20.8
78	0.6698	0.0019	20.8
79	0.6696	-0.006	20.8
80	0.6694	-0.0052	20.8
81	0.6693	0.0009	20.8
82	0.6691	-0.0076	20.8
83	0.6689	-0.0035	20.8
84	0.6688	-0.0031	20.8
85	0.6686	-0.0052	20.8
86	0.6684	-0.0094	20.8
87	0.6683	-0.0014	20.8
88	0.6681	-0.013	20.8
89	0.6678	-0.0091	20.8
90	0.6676	-0.0003	20.8
91	0.6674	-0.0156	20.8
92	0.6672	-0.0151	20.8
93	0.667	-0.0022	20.8
94	0.6668	-0.0212	20.8
95	0.6665	-0.0192	20.8
96	0.6663	-0.0035	20.8
97	0.666	-0.0278	20.8
98	0.6658	-0.028	20.8
99	0.6655	0.0029	20.8
