Time		pH		Temp/?C		Cond/?S		ml/min		Cell Voltage
1		6.489		21		-5012		0		0.029
2		6.49		21		-5012		0		0.039
3		6.49		21		-5012		0		0.015
4		6.489		21		-5024		0		0.024
5		6.489		21		-5012		0		-0.015
6		6.489		21		-5000		0		0.034
7		6.489		21		-5012		0		0.039
8		6.489		20.9		-5012		0		0.024
9		6.489		21		-5000		0		0.02
10		6.488		21		-4987		0		0.049
11		6.488		21		-5000		0		0.02
12		6.487		21		-5012		0		0.02
13		6.487		21		-5012		0		0.024
14		6.487		21		-5024		0		0.005
15		6.486		21		-5012		0		0.01
16		6.486		21		-5000		0		0.015
17		6.486		20.9		-5000		0		-0.015
18		6.486		20.9		-5000		0		-0.01
19		6.486		21		-4987		0		-0.054
20		6.487		20.9		-5000		0		-0.049
21		6.521		21		-5012		0		-0.02
22		6.528		21		-5024		0		-0.054
23		6.532		21		-5000		0		-0.078
24		6.536		21		-5000		0		-0.078
25		6.54		20.9		-4987		0		-0.112
26		6.544		21		-5012		0		-0.107
27		6.549		21		-5000		0		-0.107
28		6.553		21		-5012		0		-0.127
29		6.558		20.9		-5000		0		-0.132
30		6.562		20.9		-5000		0		-0.156
31		6.566		20.9		-5024		0		-0.132
32		6.57		20.9		-5000		0		-0.156
33		6.574		21		-5012		0		-0.137
34		6.578		21		-5012		0		-0.151
35		6.583		21		-5000		0		-0.156
36		6.586		21		-5000		0		-0.132
37		6.59		21		-5012		0		-0.127
38		6.593		21		-5012		0		-0.161
39		6.596		20.9		-5012		0		-0.127
40		6.599		21		-5012		0		-0.132
41		6.602		21		-5012		0		-0.132
42		6.605		21		-5012		0		-0.127
43		6.608		21		-5000		0		-0.107
44		6.61		20.9		-5012		0		-0.078
45		6.613		21		-5012		0		-0.068
46		6.614		21		-5012		0		-0.063
47		6.615		21		-5012		0		-0.054
48		6.618		21		-5012		0		-0.068
49		6.619		20.9		-5000		0		-0.063
50		6.62		21		-5012		0		-0.02
51		6.622		21		-5012		0		-0.015
52		6.623		21		-5012		0		-0.034
53		6.624		21		-5012		0		-0.024
54		6.624		21		-4987		0		-0.005
55		6.625		21		-5000		0		-0.015
56		6.626		21		-5012		0		0.034
57		6.626		21		-5012		0		0.034
58		6.626		21		-5000		0		0.034
59		6.626		21		-5012		0		0.034
60		6.626		21		-5012		0		0.02
61		6.626		21		-5024		0		0.039
62		6.626		21		-5000		0		0.034
63		6.626		21		-5012		0		0.024
64		6.627		21		-5024		0		0.034
65		6.627		21		-5012		0		0.029
66		6.626		21		-5012		0		0.044
67		6.625		21		-5000		0		0.044
68		6.624		21		-4987		0		0.024
69		6.623		21		-5012		0		-0.015
70		6.62		21		-5012		0		0.034
71		6.619		21		-5012		0		0.029
72		6.618		21		-5012		0		0.039
73		6.617		20.9		-4987		0		0.039
74		6.615		21		-5012		0		0.034
75		6.614		20.9		-5000		0		0.029
76		6.612		21		-5000		0		0.034
77		6.611		21		-5012		0		0.039
78		6.609		21		-5012		0		0.044
79		6.607		20.9		-4987		0		0.049
80		6.605		20.9		-5012		0		0.029
81		6.603		21		-5000		0		0.034
82		6.6		21		-5012		0		0.02
83		6.598		21		-5000		0		0.02
84		6.596		21		-5000		0		0.034
85		6.593		21		-5000		0		0.024
86		6.591		21		-5012		0		0.029
87		6.588		21		-5000		0		0.029
88		6.586		21		-5000		0		0.029
89		6.583		21		-5012		0		0.029
90		6.58		21		-5012		0		-0.029
91		6.577		21		-5000		0		0.005
92		6.574		21		-5000		0		0.005
93		6.572		21		-5012		0		0.01
94		6.568		21		-5012		0		0.005
95		6.565		21		-5000		0		0.01
96		6.563		21		-5024		0		0.015
97		6.559		21		-5000		0		-0.01
98		6.555		21.1		-4987		0		-0.039
99		6.552		21		-5012		0		-0.059
