[time=1, conductivityCalibrated=4004.0238]
[time=2, conductivityCalibrated=4170.7025]
[time=3, conductivityCalibrated=4337.3743]
[time=4, conductivityCalibrated=4504.0453]
[time=5, conductivityCalibrated=4670.6161]
[time=6, conductivityCalibrated=4837.2866]
[time=7, conductivityCalibrated=5003.957]
[time=8, conductivityCalibrated=5170.7274]
[time=9, conductivityCalibrated=5337.2974]
[time=10, conductivityCalibrated=5504.0675]
[time=11, conductivityCalibrated=5670.7372]
[time=12, conductivityCalibrated=5837.4068]
[time=13, conductivityCalibrated=6003.9762]
[time=14, conductivityCalibrated=6170.6456]
[time=15, conductivityCalibrated=6337.3147]
[time=16, conductivityCalibrated=6504.1839]
[time=17, conductivityCalibrated=6670.8528]
[time=18, conductivityCalibrated=6837.6217]
[time=19, conductivityCalibrated=7004.3903]
[time=20, conductivityCalibrated=7171.1589]
[time=21, conductivityCalibrated=7337.8274]
[time=22, conductivityCalibrated=7504.4958]
[time=23, conductivityCalibrated=7671.2641]
[time=24, conductivityCalibrated=7837.9324]
[time=25, conductivityCalibrated=8004.6005]
[time=26, conductivityCalibrated=8171.3686]
[time=27, conductivityCalibrated=8337.9365]
[time=28, conductivityCalibrated=8504.7044]
[time=29, conductivityCalibrated=8671.3723]
[time=30, conductivityCalibrated=8838.1401]
[time=31, conductivityCalibrated=9004.8078]
[time=32, conductivityCalibrated=9171.4756]
[time=33, conductivityCalibrated=9338.2432]
[time=34, conductivityCalibrated=9504.8108]
[time=35, conductivityCalibrated=9671.5783]
[time=36, conductivityCalibrated=9838.2459]
[time=37, conductivityCalibrated=10004.9134]
[time=38, conductivityCalibrated=10171.4808]
[time=39, conductivityCalibrated=10338.1482]
[time=40, conductivityCalibrated=10504.8155]
[time=41, conductivityCalibrated=10671.3829]
[time=42, conductivityCalibrated=10838.0502]
[time=43, conductivityCalibrated=11004.7175]
[time=44, conductivityCalibrated=11171.2847]
[time=45, conductivityCalibrated=11337.852]
[time=46, conductivityCalibrated=11504.4192]
[time=47, conductivityCalibrated=11670.9864]
[time=48, conductivityCalibrated=11837.5535]
[time=49, conductivityCalibrated=12004.1207]
[time=50, conductivityCalibrated=12170.6878]
[time=51, conductivityCalibrated=12337.2548]
[time=52, conductivityCalibrated=12503.9219]
[time=53, conductivityCalibrated=12670.489]
[time=54, conductivityCalibrated=12836.956]
[time=55, conductivityCalibrated=13003.6231]
[time=56, conductivityCalibrated=13170.1901]
[time=57, conductivityCalibrated=13336.7571]
[time=58, conductivityCalibrated=13503.2241]
[time=59, conductivityCalibrated=13669.7911]
[time=60, conductivityCalibrated=13836.458]
[time=61, conductivityCalibrated=14002.925]
[time=62, conductivityCalibrated=14169.3919]
[time=63, conductivityCalibrated=14335.9588]
[time=64, conductivityCalibrated=14502.4258]
[time=65, conductivityCalibrated=14668.8927]
[time=66, conductivityCalibrated=14835.4596]
[time=67, conductivityCalibrated=15001.9265]
[time=68, conductivityCalibrated=15168.3934]
[time=69, conductivityCalibrated=15334.9602]
[time=70, conductivityCalibrated=15501.4271]
[time=71, conductivityCalibrated=15667.794]
[time=72, conductivityCalibrated=15834.2608]
[time=73, conductivityCalibrated=16000.7277]
[time=74, conductivityCalibrated=16167.1945]
[time=75, conductivityCalibrated=16333.6614]
[time=76, conductivityCalibrated=16500.1282]
[time=77, conductivityCalibrated=16666.495]
[time=78, conductivityCalibrated=16832.9618]
[time=79, conductivityCalibrated=16999.3286]
[time=80, conductivityCalibrated=17165.7955]
